"X","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","lon","lat"
"phsu54","Bloomberg Government @BGOV -- views are my own | RTs are not endorsements",7950,840,284,3469,"https://t.co/CJzmej3P5b","Peter Hsu","2010-05-13 03:14:52",FALSE,FALSE,"phsu54","Washington, DC","en",143298690,33,FALSE,"http://pbs.twimg.com/profile_images/672457944139751429/N8yuecV__normal.jpg",-122.0651819,37.9100783
"rednet_china","REDNET.CN introuduces the central province Hunan of China to everyone<ed><U+00A0><U+00BD><ed><U+00B1><U+008F>",13279,1695,2,378,"https://t.co/dfEqVi4WCg","RednetChina","2018-01-12 11:39:17",FALSE,FALSE,"rednet_china","Hunan","en",951780616625729536,3,FALSE,"http://pbs.twimg.com/profile_images/952024331407654912/g3IA3oaB_normal.jpg",-121.5221244,38.5820095
"kinsa","The world's smartest thermometer, on a mission to create the first map of human health.",7510,7941,5217,3892,"https://t.co/PKDGD3ySbx","Kinsa","2013-01-29 06:07:05",FALSE,TRUE,"kinsa","San Francisco, CA","en",1130198744,277,FALSE,"http://pbs.twimg.com/profile_images/3503479204/2b60c4eccfd3b6906dc0bb5280b59307_normal.png",-111.8314724,33.4151843
"Whhaymd","Clinical Associate Professor of Family Medicine @UNMC
interests: Interprofessional education, Science-based medicine, Student-run clinics, geriatrics, EHR",4201,174,737,203,"https://t.co/QMOfVibyxO","William Hay, MD","2012-06-03 20:00:21",FALSE,FALSE,"Whhaymd","5050 Ames Ave, Omaha NE 68104","en",598696746,28,FALSE,"http://pbs.twimg.com/profile_images/486569332915191808/koS2OZUV_normal.jpeg",-107.3940117,24.8090649
"HHSRegion6","U.S. Department of Health and Human Services, Office of the Regional Director. Region 6 includes Arkansas, Louisiana, New Mexico, Oklahoma and Texas.",3516,1627,2964,1297,"https://t.co/19GRRvRAgM","HHSRegion6","2012-01-10 21:26:33",FALSE,FALSE,"HHSRegion6","Dallas, TX","en",460534166,78,FALSE,"http://pbs.twimg.com/profile_images/543040938239463424/EDKl1cMR_normal.jpeg",-95.300695,29.7504118
"TheThrivalist","Don't just survive-- thrive! Simple abundance, homesteading, living close to the Earth and close to Creator. Independent consultants for Shelf Reliance.",4774,491,0,528,"http://t.co/QAqBbIpMKY","Naisha & Ron Ortoli","2011-04-01 12:09:25",FALSE,FALSE,"TheThrivalist","Vermont","en",275503403,35,FALSE,"http://pbs.twimg.com/profile_images/1304457138/us_normal.jpg",-71.0588801,42.3600825
"riverside","The official Twitter account for Riverside Health System.",2373,2453,149,803,"http://t.co/IBcs8OEL9C","RIVERSIDE","2008-12-19 14:59:27",FALSE,FALSE,"riverside","Eastern Virginia","en",18243034,83,FALSE,"http://pbs.twimg.com/profile_images/529340071879520256/uHIkOBNY_normal.jpeg",153.0251235,-27.4697707
"zaidertater","23 || KS <ed><U+00A0><U+00BC><ed><U+00BC><U+00BB>",1990,39,352,204,"https://t.co/bzLTFCWaxS","zaida wood <U+271E>","2014-04-25 18:35:18",FALSE,FALSE,"zaidertater","Olathe, KS","en",2463557654,0,FALSE,"http://pbs.twimg.com/profile_images/939892831208067073/-IDDHcE3_normal.jpg",7.532291,47.2088348
"MedChiupdates","MedChi, The Maryland State Medical Society was formed in 1799, and represents over 7,400 physicians.",6312,1379,875,386,"http://t.co/hN0hLJekEh","MedChi","2010-01-30 20:01:27",FALSE,FALSE,"MedChiupdates","Baltimore, MD","en",109943168,40,FALSE,"http://pbs.twimg.com/profile_images/1827649580/MedChi_Watermark_normal.JPG",-0.1869644,5.6037168
"nycHealthy","nycHealthy is the official account of the NYC Dept. of Health & Mental Hygiene. 

User Policy: http://t.co/y2O6BKEOkN",17693,42461,4912,503,"http://t.co/6bcwqWmZLV","nycHealthy","2008-12-09 18:13:28",FALSE,TRUE,"nycHealthy","New York, NY","en",17997467,1164,FALSE,"http://pbs.twimg.com/profile_images/880811566979002368/f5cNu1dp_normal.jpg",-102.552784,23.634501
"yna_ayt","20 | Self discovery <U+2728> | Punk <ed><U+00A0><U+00BE><ed><U+00B4><U+0098> | Parasitology<ed><U+00A0><U+00BD><ed><U+00B4><U+00AC>| Nature <ed><U+00A0><U+00BC><ed><U+00BD><U+0083>",8645,358,1505,513,"https://t.co/KRQiiPsepO","Somebody Else","2011-11-25 16:51:12",FALSE,FALSE,"yna_ayt","Concerts","en",421202558,3,FALSE,"http://pbs.twimg.com/profile_images/968717020299710465/a3ZcZRSR_normal.jpg",-122.3320708,47.6062095
"JMUHealthCenter","540-568-6178. MWF 8am-5pm & TTH 9am-5pm.  If you reach out after-hours, we'll get back to you the next business day.  Be well, stay well, do well.",3912,1573,711,161,"http://t.co/A6F82KEbzj","JMU Health Center","2010-03-05 14:06:13",FALSE,FALSE,"JMUHealthCenter","Harrisonburg, VA","en",120111968,25,FALSE,"http://pbs.twimg.com/profile_images/958726353611907072/r8Sh8i2o_normal.jpg",-95.712891,37.09024
"JackJillCenter","We're a NonProfit that provides early education & support to working families. Our vision is for every child & family to have the tools needed to be successful.",1003,633,481,660,"http://t.co/SGLKSCUzAF","Jack & Jill Center","2011-04-15 14:44:33",FALSE,FALSE,"JackJillCenter","Fort Lauderdale, Florida","en",282603928,10,FALSE,"http://pbs.twimg.com/profile_images/959084892339482625/RQl9xacm_normal.jpg",-86.7816016,36.1626638
