word	count
data,users	196
said,analytica	202
mr,nix	203
information,data	205
facebook,times	210
nix,cambridge	218
facebook,company	219
mr,facebook	219
users,data	219
firm,mr	222
mr,data	224
company,mr	227
data,times	230
times,cambridge	230
firm,said	231
cambridge,company	234
firm,data	236
said,facebook	241
mr,analytica	243
cambridge,times	247
firm,cambridge	250
analytica,facebook	251
said,cambridge	256
company,said	265
facebook,mr	268
said,data	275
data,company	281
facebook,analytica	289
nix,said	290
said,mr	304
analytica,data	308
analytica,mr	312
analytica,cambridge	318
mr,cambridge	327
nix,mr	352
cambridge,facebook	353
analytica,said	361
cambridge,analytica	361
facebook,said	370
data,analytica	393
data,mr	410
facebook,data	422
facebook,cambridge	423
cambridge,data	426
cambridge,mr	427
mr,said	458
data,facebook	462
cambridge,said	483
data,cambridge	522
data,said	575
