word	count
zuckerbergs,says	1275
zuckerbergs,stole	1275
zuckerbergs,warned	1275
analyticastyle,flaw	1277
cambridge,analyticastyle	1277
classmate,analyticastyle	1277
classmate,cambridge	1277
classmate,facebook	1277
classmate,flaw	1277
classmate,says	1277
classmate,stole	1277
classmate,warned	1277
facebook,analyticastyle	1277
facebook,flaw	1277
facebook,warned	1277
mark,amp	1277
says,analyticastyle	1277
says,flaw	1277
says,warned	1277
stole,analyticastyle	1277
stole,cambridge	1277
stole,flaw	1277
stole,says	1277
stole,warned	1277
warned,analyticastyle	1277
mark,stole	1278
says,amp	1278
zuckerbergs,amp	1279
zuckerbergs,facebook	1279
zuckerbergs,cambridge	1281
cambridge,flaw	1282
mark,zuckerbergs	1282
warned,cambridge	1282
warned,flaw	1282
facebook,87	1293
mark,says	1299
cambridge,amp	1323
analytica,facebook	1380
mark,facebook	1431
cambridge,facebook	1455
mark,cambridge	1482
facebook,amp	1503
facebook,users	1559
says,cambridge	1600
stole,facebook	1644
facebook,says	2306
facebook,analytica	2457
facebook,data	3126
facebook,cambridge	4131
cambridge,analytica	4994

