word	count
imariajohnsen	71
isnt	71
quickly	71
runtherace	71
siliconvalley	71
facebookda	72
httpstcoervnbrksb	72
recent	72
touches	72
unrest	72
advised	73
cong	73
dati	73
deny	73
might	73
minorities	73
never	73
overnight	73
sobre	73
zuckerburg	73
ber	74
dalit	74
light	74
shirastweet	74
socialmedi	74
surveillance	74
tambin	74
uh	74
uueuu	74
bei	75
check	75
nothingsprivate	75
point	75
practices	75
uubuu	75
watch	75
also	76
carolecadwalla	76
eleva	76
face	76
instagram	76
jenn_	76
todays	76
cyber	77
heat	77
issue	77
profiles	77
renukajain	77
response	77
step	77
way	77
come	78
gang	78
al	79
doesnt	79
infosec	79
location	79
newsandguts	79
rachel	79
told	79
trouble	79
week	79
bbcrtoday	80
british	80
cult	80
faceboo	80
hancock	80
last	80
made	80
mr	80
ref	80
cook	81
figure	81
helped	81
linked	81
matt	81
ms	81
stories	81
va	81
breaking	82
crisis	82
day	82
eu	82
explained	82
former	82
listen	82
product	82
prove	82
sec	82
worse	82
mz	83
qanon	83
sc	83
create	84
go	84
w	84
zeitonline	84
bn	85
dem	85
executing	85
reports	85
ufuueuufufufuue	85
uueu	85
aiq	86
change	86
details	86
facebookcambridge	86
seen	86
ueubuu	86
article	87
bigdata	87
committee	87
following	87
une	87
using	87
uuc	87
every	88
payroll	88
report	88
sind	88
control	89
dans	89
daten	89
mercer	89
right	89
agenzia_ansa	90
analysis	90
call	90
calls	90
even	90
facebookdata	90
got	90
journalists	90
mog	90
say	90
well	90
wie	90
continue	91
italiani	91
online	91
private	91
firefox	92
home	92
rt_com	92
uufu	92
dataleak	93
millionen	93
nun	93
para	93
comptes	94
elon	94
f	94
already	95
calideplorable	95
due	95
privacidad	95
profile	95
accounteduaubdedubueduaubdedubueduaubeedubua	96
datamining	96
gofundme	96
mccabe	96
uueufue	96
amid	97
bbc	97
facebo	97
hillaryclinton	97
useless	97
youre	97
able	98
accounts	98
almost	98
uuuucuduufuc	98
reported	99
usati	99
deleted	100
mit	100
_mrityunjayraip	100
post	100
times	100
twitter	100
wa	100
water	100
coinvolti	101
databreach	101
info	101
uubuudu	101
uueduaubdedubueduaubdedubu	101
uueucuuueueu	101
uuuueue	101
announced	102
expose	102
hit	102
keep	102
lost	102
uauuueuu	102
concerns	103
fr	103
musk	103
uauuue	103
uubuub	103
hot	104
mostly	104
set	104
tesla	104
udu	104
accused	105
c	105
ddnewslive	105
get	105
posts	105
problem	105
st	105
want	105
world	105
accessed	106
